source_id,source,latitude,longitude,event_date,spatial_block_id
6292,NASA_GLC,25.7238,89.9032,2014-09-23,block_51_179
5336,NASA_GLC,26.3897,94.9439,2013-08-16,block_52_189
7836,NASA_GLC,24.042,92.6724,2015-08-27,block_48_185
7923,NASA_GLC,26.49349035,91.72137514,2015-09-01,block_52_183
3760,NASA_GLC,25.6703,94.1095,2011-07-11,block_51_188
1084,NASA_GLC,27.7,92.8,2009-08-12,block_55_185
2166,NASA_GLC,24.9786,93.5027,2010-07-29,block_49_187
8366,NASA_GLC,25.583,91.893,2015-09-23,block_51_183
11956,NASA_GLC,22.148327,92.80921064,1970-01-01,block_44_185
5430,NASA_GLC,24.9037,93.487,2013-09-01,block_49_186
8901,NASA_GLC,25.7902,94.1318,2016-07-10,block_51_188
5337,NASA_GLC,26.4205,94.9731,2013-08-16,block_52_189
6106,NASA_GLC,26.1407,91.7645,2014-06-26,block_52_183
7373,NASA_GLC,24.9111,94.4759,2015-08-01,block_49_188
7887,NASA_GLC,27.8835,96.9262,2015-08-16,block_55_193
7972,NASA_GLC,23.4495,92.8112,2015-08-28,block_46_185
5107,NASA_GLC,25.6269,94.1139,2013-07-15,block_51_188
5343,NASA_GLC,24.7625,93.4341,2013-08-17,block_49_186
6990,NASA_GLC,26.0319,94.5466,2015-06-24,block_52_189
9169,NASA_GLC,26.1677,94.2442,2016-06-12,block_52_188
4313,NASA_GLC,28.4659,95.86,2012-04-08,block_56_191
4892,NASA_GLC,27.8776,94.25,2013-06-01,block_55_188
7664,NASA_GLC,24.7459,93.4251,2015-08-11,block_49_186
2420,NASA_GLC,23.72988966,92.71495623,2010-09-13,block_47_185
7837,NASA_GLC,23.7269,92.7265,2015-08-27,block_47_185
5338,NASA_GLC,26.8727,94.9275,2013-08-16,block_53_189
4385,NASA_GLC,27.7167,88.5577,2012-06-03,block_55_177
9428,NASA_GLC,27.5523,91.752,2016-04-22,block_55_183
6331,NASA_GLC,25.9466,94.6279,2014-09-08,block_51_189
1987,NASA_GLC,25.2269,93.1658,2010-06-15,block_50_186
6775,NASA_GLC,26.1468,91.6469,2015-02-14,block_52_183
4860,NASA_GLC,26.1016,91.6906,2013-05-11,block_52_183
3619,NASA_GLC,27.4885,88.4451,2011-06-17,block_54_176
