source,source_id,source_ref,latitude,longitude,state,district,location_description,landslide_type,trigger,event_date,temporal_precision,fatalities,injuries,location_accuracy,original_record_reference,valid_coordinates,valid_date,duplicate_source_id,duplicate_coordinates
NASA_GLC,4424,1539695,26.149,91.7351,Assam,,"Lalunggaon, Guwahati,  Assam",landslide,downpour,2012-06-20,day,0,0,1km,twocircles.net,TRUE,TRUE,FALSE,FALSE
NASA_GLC,4377,1539701,26.1475,91.7356,Assam,,"Guwahati, Assam",landslide,downpour,2012-06-02,day,0,0,5km,ibnlive.in,TRUE,TRUE,FALSE,FALSE
NASA_GLC,9186,1539720,25.48,94.1383,Manipur,,"Imphal-Dimapur road  in Tadubi, Senapati district, Manipur, India",landslide,continuous_rain,2016-07-25,day,0,1,1km,E-Pao,TRUE,TRUE,FALSE,FALSE
NASA_GLC,4757,1539736,28.1193,95.1645,Arunachal Pradesh,,"East Siang, Arunachal Pradesh",landslide,rain,2013-02-18,day,3,2,5km,articles.timesofindia.indiatimes.com,TRUE,TRUE,FALSE,FALSE
NASA_GLC,3965,1539744,24.808,93.117,Assam,,NH 37 at Awang KhulÂ,landslide,rain,2011-09-06,day,3,0,1km,e-pao.net,TRUE,TRUE,FALSE,FALSE
NASA_GLC,6969,1539752,25.5114,90.215,Meghalaya,,"Nakham Bazaar, Tura, Meghalaya",landslide,downpour,2015-06-16,day,4,0,1km,The Shillong Times,TRUE,TRUE,FALSE,FALSE
NASA_GLC,6293,1539775,25.5006,90.0896,Meghalaya,,South West Garo Hills,landslide,rain,2014-10-20,day,6,0,50km,Times of India,TRUE,TRUE,FALSE,FALSE
NASA_GLC,7267,1540580,25.3908,94.0926,Manipur,,NH-2 between Senapati and Mao,landslide,continuous_rain,2015-07-22,day,0,0,10km,The Sangai Express,TRUE,TRUE,FALSE,FALSE
NASA_GLC,2248,1540990,26.222,94.9152,Nagaland,,"Noklak-Tuensang road, Nagaland",landslide,downpour,2010-08-14,day,0,0,25km,morungexpress,TRUE,TRUE,FALSE,FALSE
NASA_GLC,2422,1540992,23.74182634,92.7141905,Mizoram,,"Hunthar Veng, Mizoram",landslide,downpour,2010-09-13,day,0,0,1km,Mizoram Express,TRUE,TRUE,FALSE,FALSE
NASA_GLC,7214,1540997,27.36,93.0385,Arunachal Pradesh,,Type-IV Colony of Seppa in East Kameng,landslide,monsoon,2015-07-15,day,3,0,5km,NDTV,TRUE,TRUE,FALSE,FALSE
NASA_GLC,1929,1541011,27.3543,88.6428,Sikkim,,"North Sikkiim Highway, periphery of Gangtok, Sikkim East district",landslide,downpour,2010-05-31,day,0,0,5km,sify.com,TRUE,TRUE,FALSE,FALSE
NASA_GLC,3927,1541026,25.5144,90.2167,Meghalaya,,"Garo Hills, Tura",landslide,downpour,2011-08-16,day,6,0,unknown,theshillongtimes.com,TRUE,TRUE,FALSE,FALSE
NASA_GLC,7390,1541040,24.4265,94.1913,Manipur,,between Tengnoupal-Sita junction and Tengnoupal Power Sub-Station,landslide,continuous_rain,2015-08-01,day,0,0,25km,E-PAO,TRUE,TRUE,FALSE,FALSE
NASA_GLC,7384,1541056,23.9278,94.0906,Manipur,,"Wayang, Khengjoi",landslide,rain,2015-08-01,day,0,0,5km,Hindustan Times,TRUE,TRUE,FALSE,FALSE
NASA_GLC,4383,1541066,25.3056,93.1265,Assam,,"between Maibang and Daotohaja, Assam",landslide,downpour,2012-06-03,day,0,0,5km,articles.timesofindia,TRUE,TRUE,FALSE,FALSE
NASA_GLC,6283,1541109,26.1314,91.7548,Assam,,Dakhingaon,landslide,rain,2014-09-22,day,0,0,1km,Assam Tribune,TRUE,TRUE,FALSE,FALSE
NASA_GLC,2573,1541148,25.1796,93.0083,Assam,,"Haflong, Assam",mudslide,downpour,2010-10-09,day,1,0,5km,dnaindia,TRUE,TRUE,FALSE,FALSE
NASA_GLC,9604,1541166,27.2676,88.2891,Sikkim,,Legship,landslide,continuous_rain,2016-10-12,day,0,0,10km,Indian Express,TRUE,TRUE,FALSE,FALSE
NASA_GLC,7665,1541192,24.7016,93.5291,Manipur,,Khoupum,landslide,continuous_rain,2015-08-11,day,0,0,5km,E-PAO,TRUE,TRUE,FALSE,FALSE
NASA_GLC,1994,1541195,25.0633,92.8025,Assam,,"rails between Jatinga and Longrangjao(?), Assam",landslide,downpour,2010-06-16,day,0,0,25km,ptinews,TRUE,TRUE,FALSE,FALSE
NASA_GLC,692,1541205,25.705,94.04,Nagaland,,"National Highway-39, Dimapur-Imphal road and another under Kiphire district of Nagaland",landslide,downpour,2008-08-07,day,0,0,10km,kanglaonline,TRUE,TRUE,FALSE,FALSE
NASA_GLC,259,1541229,25.52,91.27,Meghalaya,,"Assam-Agartala National Highway, Sonarpur in Jayantiya hills of Meghalaya",landslide,rain,2007-09-11,day,0,0,unknown,India times,TRUE,TRUE,FALSE,FALSE
NASA_GLC,251,1541237,27.1667,88.35,Sikkim,,Hingdam village in South Sikkim,landslide,rain,2007-09-09,day,1,0,50km,Sikkim times.com,TRUE,TRUE,FALSE,FALSE
NASA_GLC,5485,1541281,27.6047,88.6463,Sikkim,,"Chungthang, Sikkim",rock_fall,rain,2013-09-08,day,1,2,50km,articles.timesofindia.indiatimes.com,TRUE,TRUE,FALSE,FALSE
NASA_GLC,9010,1541282,27.3034,93.804,Arunachal Pradesh,,"Hoj-Potin Highway, Arunachal Pradesh, India",mudslide,downpour,2016-07-16,day,1,0,5km,Arunachal Times,TRUE,TRUE,FALSE,FALSE
NASA_GLC,9965,1541353,26.324724,94.514651,Nagaland,,"Mokochung, Nagaland, India",landslide,rain,2016-09-05,day,0,0,1km,Nagaland Post,TRUE,TRUE,FALSE,FALSE
NASA_GLC,3943,1540594,27.13862165,88.22551799,Sikkim,,"Samathang, Sikkim",landslide,downpour,2011-08-23,day,5,0,10km,IBN,TRUE,TRUE,FALSE,FALSE
NASA_GLC,1755,1540629,27.3341,88.6083,Sikkim,,"Natl. Highway 31-A at Pani House(?), Gangtok",landslide,downpour,2010-04-17,day,0,0,5km,voiceofsikkim.com,TRUE,TRUE,FALSE,FALSE
NASA_GLC,7369,1540639,24.1988,94.1016,Manipur,,between Chalong and Paraolon,landslide,continuous_rain,2015-08-01,day,0,0,10km,E-PAO,TRUE,TRUE,FALSE,FALSE
NASA_GLC,9252,1540661,27.5748,91.8644,Arunachal Pradesh,,"Dolma Lhakang complex, Lumla, Tawang,  Arunachal Pradesh, India",landslide,monsoon,2016-07-28,day,0,0,5km,Arunchal Times,TRUE,TRUE,FALSE,FALSE
NASA_GLC,7728,1540669,26.1028,91.8806,Assam,,Natonal Highway in Jorabat area,landslide,continuous_rain,2015-08-22,day,0,0,5km,Assam Times,TRUE,TRUE,FALSE,FALSE
NASA_GLC,5274,1540679,26.0838,94.564,Nagaland,,"Suruhuto Town, Nagaland",landslide,rain,2013-08-04,day,0,0,25km,www.nagalandpost.com,TRUE,TRUE,FALSE,FALSE
NASA_GLC,11175,1540707,27.82743132,93.62407259,Arunachal Pradesh,,"Yangte, Kra Daadi District, Arunachal Pradesh, India",landslide,rain,2017-05-03,day,1,0,1km,Echo of Arunachal,TRUE,TRUE,FALSE,FALSE
NASA_GLC,11158,1540715,25.69111465,94.09483333,Nagaland,,"Kohima, Nagaland, India",landslide,rain,2017-07-12,day,0,0,1km,Eastern Mirror,TRUE,TRUE,FALSE,FALSE
NASA_GLC,11604,1540771,23.40991836,93.36421745,Mizoram,,,landslide,unknown,1970-01-01,day,0,0,exact,NASA SERVIR Science Coordination Office & SERVIR-Mekong,TRUE,TRUE,FALSE,FALSE
NASA_GLC,10960,1540963,23.725943,92.7178,Mizoram,,"Mizoram, India",landslide,,2016-09-17,day,5,0,5km,Indian Express,TRUE,TRUE,FALSE,FALSE
NASA_GLC,11157,1540966,25.73111942,93.98827528,Nagaland,,"Peducha, Kohima, Nagaland State, India",landslide,continuous_rain,2017-07-09,day,0,0,1km,Eastern Mirror,TRUE,TRUE,FALSE,FALSE
NASA_GLC,3776,1540275,27.125,93.7145,Arunachal Pradesh,,Itanagar/Naharlagur/Nirjuli,landslide,downpour,2011-07-15,day,0,0,5km,ibnlive.in,TRUE,TRUE,FALSE,FALSE
NASA_GLC,4378,1540292,28.8254,96.1517,Arunachal Pradesh,,"Arunachal Pradesh, Dibang,",landslide,downpour,2012-06-02,day,0,0,50km,isikkim.com,TRUE,TRUE,FALSE,FALSE
